placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
76,85,2018-10-26,2,1,2018-2019,Pinheiros,Corinthians,83.334,26.2,40.534,16.6,35.066,9.533999999999999,25.534000000000002,15.199333333333335,13.066000000000003,1.1993333333333334,8.732666666666667,23.467333333333336,36.70466666666666,20.266,39.2,52.50333333333334,16.6,21.59933333333333,76.99066666666666,1.5333333333333334,6.8,0.53,2.399333333333333,20.00066666666667,0.11933333333333336,13.066000000000003,2.2,91.06666666666666,84.75,21.75,46.0,17.0,33.5,10.5,23.0,16.75,10.75,1.5450000000000002,7.25,19.75,37.005,23.0,43.75,53.06,17.0,21.75,78.015,1.25,6.0,0.585,1.5,26.5,0.06,10.75,1.5,93.75
97,82,2018-10-26,2,1,2018-2019,Mogi,Brasília,85.59933333333333,28.2,40.66733333333333,16.733999999999998,39.26733333333333,12.533999999999997,26.733333333333334,18.4,11.866000000000003,1.6566666666666667,9.400666666666666,28.334000000000003,34.14133333333333,20.332666666666665,37.532666666666664,54.392,16.733999999999998,22.665999999999997,73.866,1.6659999999999997,7.667333333333334,0.6826666666666666,1.8006666666666666,20.933333333333334,0.08600000000000002,11.866000000000003,2.1340000000000003,98.79933333333332,78.26666666666667,24.4,38.266666666666666,15.6,34.8,10.733333333333333,24.066666666666666,18.2,15.133333333333333,1.2853333333333334,8.133333333333333,23.733333333333334,34.48266666666666,19.133333333333333,39.733333333333334,48.12333333333333,15.6,20.333333333333332,76.61600000000001,1.4666666666666666,7.066666666666666,0.4826666666666668,1.8666666666666667,22.133333333333333,0.08533333333333334,15.133333333333333,2.533333333333333,84.13333333333334
69,70,2018-10-27,2,1,2018-2019,Bauru Basket,Sesi Franca,80.53400000000002,29.8,36.4,14.333999999999998,37.400666666666666,9.400666666666666,28.0,18.065999999999995,14.266666666666667,1.322,9.93266666666667,27.266666666666666,36.724000000000004,18.2,33.06666666666667,55.04133333333334,14.333999999999998,19.734,72.672,1.3340000000000003,7.2,0.5173333333333334,2.1333333333333333,22.733333333333334,0.09133333333333335,14.266666666666667,2.934,93.46666666666667,80.06666666666666,27.4,36.4,16.266666666666666,35.0,10.133333333333333,24.866666666666667,16.066666666666666,13.466666666666667,1.2926666666666664,9.133333333333333,26.2,33.61066666666667,18.2,34.06666666666667,53.59533333333332,16.266666666666666,21.2,75.83466666666666,2.1333333333333333,6.933333333333334,0.53,1.4666666666666666,21.8,0.07133333333333332,13.466666666666667,2.0,88.2
85,73,2018-10-29,3,1,2018-2019,Minas,Joinville / AABJ,76.4,23.133333333333333,38.44466666666666,14.822000000000001,36.31133333333333,10.555333333333333,25.755333333333333,16.866666666666667,16.2,1.0626666666666666,7.711333333333333,26.466666666666665,29.298000000000005,19.221999999999998,36.24466666666667,53.13199999999999,14.822000000000001,21.15533333333333,70.42800000000001,1.3113333333333335,6.978,0.45333333333333337,2.2666666666666666,24.2,0.10000000000000002,16.2,3.4219999999999997,80.51133333333334,70.7,29.4,27.798000000000002,13.501999999999999,37.4,11.402,25.998,15.0,16.202,0.932,9.798,27.1,36.224000000000004,13.901999999999997,31.201999999999998,45.122,13.501999999999999,20.398,66.546,1.3980000000000001,7.202,0.45999999999999996,1.202,16.9,0.066,16.202,3.098,73.6
77,74,2018-10-30,3,1,2018-2019,Botafogo,Paulistano,71.375,21.0,41.0,9.375,36.0,9.625,26.375,15.5,13.125,1.245,7.0,22.25,30.895,20.5,39.5,52.5175,9.375,13.5,67.65,2.25,6.375,0.4825,2.5,22.0,0.115,13.125,2.75,80.0,78.86666666666666,30.5,32.86666666666667,15.5,38.03333333333333,12.033333333333333,26.0,13.833333333333334,13.2,1.1159999999999999,10.166666666666666,32.5,31.34066666666667,16.433333333333334,32.63333333333333,50.59999999999999,15.5,20.766666666666666,75.01733333333333,1.5666666666666667,6.166666666666667,0.49533333333333335,2.8333333333333335,22.233333333333334,0.12733333333333333,13.2,2.3333333333333335,82.7
93,73,2018-10-30,3,1,2018-2019,Flamengo,Mogi,86.08866666666667,28.6,39.066,18.422666666666665,41.132666666666665,13.134000000000004,28.00066666666667,20.465999999999998,13.0,1.6719999999999997,9.533333333333333,29.489333333333335,31.918666666666663,19.534000000000002,38.422000000000004,51.25400000000001,18.422666666666665,23.665999999999997,77.48800000000001,1.4666666666666666,6.1546666666666665,0.4986666666666667,1.7113333333333334,21.756000000000004,0.07866666666666668,13.0,1.8659999999999997,98.46599999999998,85.29933333333334,28.0,40.934,16.36733333333333,38.900666666666666,12.633999999999997,26.266666666666666,18.366666666666667,12.032666666666668,1.6400000000000003,9.334,27.834000000000003,34.54399999999999,20.465999999999998,38.132666666666665,53.70933333333333,16.36733333333333,22.232666666666663,73.57066666666667,1.599333333333333,7.600666666666667,0.672,1.634,20.733333333333334,0.07800000000000001,12.032666666666668,2.200666666666667,97.73266666666665
93,65,2018-10-31,3,1,2018-2019,Minas,R10 Score Vasco da Gama,78.06666666666666,24.066666666666666,39.02266666666666,14.977333333333336,36.089333333333336,10.377333333333334,25.710666666666665,17.2,15.666666666666666,1.1213333333333333,8.022666666666668,26.266666666666666,30.57066666666667,19.510666666666665,36.422666666666665,53.752,14.977333333333336,21.510666666666665,69.67733333333332,1.3560000000000003,6.889333333333334,0.4640000000000001,2.2,23.866666666666667,0.09933333333333332,15.666666666666666,3.1106666666666665,83.08933333333334,75.9,27.4,33.0,15.5,32.8,8.9,23.9,16.133333333333333,13.933333333333334,1.2079999999999997,9.133333333333333,24.866666666666667,37.32733333333333,16.5,34.46666666666667,48.20399999999999,15.5,20.666666666666668,74.59266666666666,0.7,6.566666666666666,0.4753333333333334,1.2,21.4,0.058,13.933333333333334,3.3666666666666667,79.8
82,91,2018-10-31,3,1,2018-2019,Fortaleza B. C. / CFO,Sesi Franca,73.20066666666665,25.0,34.467333333333336,13.733333333333333,36.833999999999996,10.366666666666667,26.467333333333336,12.833999999999998,13.466000000000003,0.984,8.333333333333334,26.199333333333332,31.636000000000006,17.232666666666663,38.43333333333333,45.44466666666666,13.733333333333333,19.232666666666663,71.67066666666668,1.634,6.466666666666667,0.49466666666666664,2.1659999999999995,20.90066666666667,0.10866666666666669,13.466000000000003,2.2333333333333334,73.39933333333335,81.26666666666667,27.6,37.266666666666666,16.4,34.7,9.533333333333333,25.166666666666668,16.4,13.3,1.3413333333333333,9.2,25.933333333333334,34.205999999999996,18.633333333333333,33.86666666666667,55.182,16.4,21.066666666666666,76.986,2.3,6.833333333333333,0.5286666666666666,1.5333333333333334,21.466666666666665,0.07666666666666666,13.3,1.9666666666666666,90.8
105,113,2018-10-31,3,1,2018-2019,Brasília,Bauru Basket,80.33333333333333,25.1,39.06666666666667,16.166666666666668,34.93333333333333,10.8,24.133333333333333,18.3,14.666666666666666,1.3246666666666664,8.366666666666667,24.433333333333334,34.532,19.533333333333335,39.766666666666666,49.18933333333334,16.166666666666668,21.033333333333335,77.10333333333332,1.4,7.0,0.48933333333333334,2.066666666666667,22.733333333333334,0.09266666666666669,14.666666666666666,2.5,86.8,81.40066666666667,29.5,36.86666666666667,15.033999999999997,37.400666666666666,9.300666666666666,28.1,17.732666666666663,14.033333333333333,1.3186666666666667,9.832666666666666,26.733333333333334,37.112,18.433333333333334,33.7,54.745333333333335,15.033999999999997,20.567333333333337,73.118,1.400666666666667,6.966666666666667,0.5053333333333333,2.1,22.633333333333333,0.09000000000000002,14.033333333333333,3.1673333333333336,93.86666666666666
72,98,2018-11-01,3,1,2018-2019,Joinville / AABJ,Corinthians,71.0,29.5,27.998333333333335,13.501666666666665,36.166666666666664,11.168333333333331,24.998333333333335,14.666666666666666,15.668333333333335,0.9433333333333334,9.831666666666667,27.0,36.47666666666667,14.001666666666665,31.668333333333333,44.71,13.501666666666665,20.49833333333333,66.17,1.3316666666666668,7.501666666666666,0.4983333333333333,1.1683333333333332,17.0,0.065,15.668333333333335,2.831666666666667,72.83333333333333,84.0,22.5,45.0,16.5,34.4,10.3,24.1,16.3,11.7,1.4240000000000002,7.5,20.9,36.27,22.5,42.5,53.382000000000005,16.5,20.7,79.988,1.3,6.4,0.572,1.7,26.3,0.06799999999999999,11.7,1.5,93.4
